,estimate,std_error,z_stat,p_value
const,2.873756799286515,1.0669570661791763,2.6934137186771476,0.007072444821317215
ar.L1,1.5334571743680652,0.1626928959271912,9.42547101168033,4.281794500281385e-21
ar.L2,-0.5879783244207604,0.21300620870481984,-2.760381155065626,0.0057733959567261494
ar.L3,0.3974102571069386,0.1343125764446009,2.958846205074891,0.003087931681290316
ar.L4,-0.36057030362391573,0.08448747358632043,-4.267736840959303,1.9746607608168556e-05
ma.L1,-0.5331232087296078,0.16395656672501963,-3.2516124201584278,0.0011475238465051259
sigma2,0.1481397808001234,0.01680704377609205,8.814148566141753,1.2059804676784918e-18
